product,type,subtype1,subtype2,measurement_unit,price_per_unit,bulk_density,price_per_ton,pickup_address,supplier_address,,,,,,,,,,,,,,,,,
ЩПС,,,0-20,куб,672,"1,68","400,00",Ильмениоки,"61.188730, 29.720224",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-10,куб,1960,"1,4","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-15,куб,1930,"1,38","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1380,"1,38","1000,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,10-15,куб,1920,"1,37","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,10-20,куб,1510,"1,37","1100,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,15-20,куб,1370,"1,37","1070,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,1035,"1,38","750,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,1080,"1,35","800,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,4-8,куб,1960,"1,4","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"4-11,2",куб,1960,"1,4","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,4-16,куб,1930,"1,38","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"8-11,2",куб,1935,"1,38","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,8-16,куб,1920,"1,37","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"11,2-16",куб,1920,"1,37","1400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"16-22,4",куб,1360,"1,36","1000,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"16-31,5",куб,1565,"1,36","1150,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"22,4-31,5",куб,1500,"1,36","1000,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,70-150,куб,1120,"1,4","800,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,,,0-20,куб,390,"1,55","250,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,625,"1,56","400,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,780,"1,56","500,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Отсев,,,0-4,куб,225,"1,5","150,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,225,"1,5","150,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Отсев,,,0-10,куб,225,"1,5","150,00",Озерный,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-20,куб,1450,"1,35","1074,07",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,5-10,куб,2200,"1,35","1629,63",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,10-20,куб,1700,"1,36","1250,00",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,20-40,куб,800,"1,36","588,24",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,25-60,куб,800,"1,36","588,24",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,"31,5-63",куб,950,"1,36","698,53",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,40-70,куб,800,"1,37","583,94",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,70-120,куб,1300,"1,41","921,99",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,70-150,куб,1250,"1,41","886,52",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,гранитный,,70-250,куб,1200,"1,38","869,57",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Песок,дробленый,,0-4,куб,600,"1,35","444,44",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,С1,,0-40,куб,750,"1,57","477,71",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,С2,,0-20,куб,650,"1,39","467,63",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,С4,,0-80,куб,700,"1,6","437,50",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,С5,,0-40,куб,750,"1,58","474,68",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,С6,,0-20,куб,950,"1,39","683,45",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Отсев,С8,,0-5,куб,700,"1,4","500,00",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,,,"0-31,5",куб,800,"1,57","509,55",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
ЩПС,,,0-63,куб,800,"1,6","500,00",ДорПромГранит,"60.906060, 29.413191",,,,,,,,,,,,,,,,,
Щебень,известняковый,,5-20,куб,950,"1,27","748,03",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Щебень,известняковый,,10-20,куб,800,"1,27","629,92",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Щебень,известняковый,,20-40,куб,1200,"1,38","869,57",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Щебень,известняковый,,40-70,куб,1200,"1,42","845,07",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Щебень,известняковый,,70-120,куб,1300,"1,31","992,37",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Щебень,известняковый,,70-150,куб,1300,"1,31","992,37",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Горная масса,,,0-300,куб,850,,,Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Горная масса,Калиброванная,,,куб,1050,,,Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
ЩПС,,,0-20,куб,900,,,Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,900,"1,52","592,11",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
ЩПС,,,0-70,куб,900,"1,51","596,03",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Отсев,,,,куб,300,,,Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,650,,,Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Отсев,,,0-10,куб,400,"1,52","263,16",Большие Борницы,"59.495330, 29.914880",,,,,,,,,,,,,,,,,
Щебень,,,5-20,куб,1250,,,Незаметный (самовывоз),"60.863453,29.062453.",,,,,,,,,,,,,,,,,
Щебень,,,20-40,куб,800,,,Незаметный (самовывоз),"60.863453,29.062453.",,,,,,,,,,,,,,,,,
Щебень,,,40-70,куб,800,,,Незаметный (самовывоз),"60.863453,29.062453.",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,550,,,Незаметный (самовывоз),"60.863453,29.062453.",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,550,,,Незаметный (самовывоз),"60.863453,29.062453.",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,200,,,Незаметный (самовывоз),"60.863453,29.062453.",,,,,,,,,,,,,,,,,
Грунт,песчаный,,,куб,450,,,Александровка,"59.265380, 31.245822",,,,,,,,,,,,,,,,,
Песок,карьерный,,"0,7-1,5",куб,450,,,Александровка,"59.265380, 31.245822",,,,,,,,,,,,,,,,,
Песок,намывной,очень мелкий,"1-1,5",куб,550,,,Александровка,"59.265380, 31.245822",,,,,,,,,,,,,,,,,
Песок,намывной,мелкий,"1,5-2",куб,650,,,Александровка,"59.265380, 31.245822",,,,,,,,,,,,,,,,,
Песок,намывной,средний,"2-2,5",куб,750,,,Александровка,"59.265380, 31.245822",,,,,,,,,,,,,,,,,
Щебень,,,5-20,куб,1311,"1,38","950,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,5-10,куб,1656,"1,38","1200,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,10-20,куб,1449,"1,38","1050,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,"16-22,4",куб,1311,"1,38","950,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,"16-31,5",куб,1311,"1,38","950,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,4-8,куб,1725,"1,38","1250,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,"8-11,2",куб,1725,"1,38","1250,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,"11,2-16",куб,1725,"1,38","1250,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,8-16,куб,1725,"1,38","1250,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,25-60,куб,"855,6","1,38","620,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,20-40,куб,"855,6","1,38","620,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Щебень,,,40-70,куб,"855,6","1,38","620,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,704,"1,6","440,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,704,"1,6","440,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
ЩПС,,,0-63,куб,704,"1,6","440,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
ЩПС,,,"0-31,5",куб,704,"1,6","440,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
ЩПС,,,0-45,куб,704,"1,6","440,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
ЩПС,,,0-16,куб,704,"1,6","440,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Отсев,,,0-4,куб,336,"1,4","240,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,280,"1,4","200,00",Сысоевский,"60.981580, 29.316236",,,,,,,,,,,,,,,,,
Песок,карьерный,,,куб,500,,,Степаново,"59.893033, 29.509729",,,,,,,,,,,,,,,,,
Щебень,,,4-8,куб,1452,"1,32","1100,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
Щебень,,,5-10,куб,1452,"1,32","1100,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
Щебень,,,5-20,куб,"1205,6","1,37","880,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
Щебень,,,20-40,куб,"802,4","1,36","590,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,592,"1,6","370,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
ЩПС,,,0-80,куб,640,"1,6","400,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
ЩПС,,,0-63,куб,672,"1,6","420,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
ЩПС,,,"0-31,5",куб,592,"1,6","370,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
Отсев,,,0-4,куб,"121,6","1,52","80,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,"121,6","1,52","80,00",Куликолово,"61.189280, 29.721767",,,,,,,,,,,,,,,,,
Песок,карьерный,1 сорт,"0,5-1,5",куб,200,,,Кудлей,"60.308449, 29.730743",,,,,,,,,,,,,,,,,
Песок,карьерный,4 сорт,"0,1-0,5",куб,70,,,Кудлей,"60.308449, 29.730743",,,,,,,,,,,,,,,,,
Песок,карьерный,,"1,4-2",куб,350,,,Головкинское,"59.708614, 28.920028",,,,,,,,,,,,,,,,,
Песок,строительный,ПГС,,куб,350,,,Варшко,"60.662519, 30.056093",,,,,,,,,,,,,,,,,
Песок,сеяный,,,куб,440,,,Варшко,"60.662519, 30.056093",,,,,,,,,,,,,,,,,
ПГС,усиленнный,,,куб,440,,,Варшко,"60.662519, 30.056093",,,,,,,,,,,,,,,,,
Песок,сеяный,,2+,куб,460,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Песок,намывной,,2+,куб,520,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Песок,карьерный,,"1-1,4",куб,230,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Грунт,сеяный,,,куб,400,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Грунт,не сеянный,,,куб,250,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Гравий,,,20-40,куб,900,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Гравий,,,40-150,куб,900,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Супесь,,,,куб,120,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Супесь,2 сорт,,,куб,90,,,Плоское,"60.406925, 29.644782",,,,,,,,,,,,,,,,,
Щебень,,,20-40,куб,1100,"1,37","802,92",ПНК,"55.771307, 37.651248",,,,,,,,,,,,,,,,,
Щебень,,,25-60,куб,1100,"1,37","802,92",ПНК,"55.771307, 37.651248",,,,,,,,,,,,,,,,,
Щебень,,,40-70,куб,1100,"1,37","802,92",ПНК,"55.771307, 37.651248",,,,,,,,,,,,,,,,,
Щебень,,,5-20,куб,1450,"1,34","1082,09",ПНК,"55.771307, 37.651248",,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,600,"1,52","394,74",ПНК,"55.771307, 37.651248",,,,,,,,,,,,,,,,,
Отсев,,,0-5,куб,240,"1,4","171,43",ПНК,"55.771307, 37.651248",,,,,,,,,,,,,,,,,
Щебень,,,5-20,куб,1800,,,Перовское,,,,,,,,,,,,,,,,,,
Щебень,,,20-40,куб,1200,,,Перовское,,,,,,,,,,,,,,,,,,
Щебень,,,40-70,куб,1200,,,Перовское,,,,,,,,,,,,,,,,,,
Щебень,,,70-250,куб,1200,,,Перовское,,,,,,,,,,,,,,,,,,
ЩПС,С5,,0-40,куб,750,,,Перовское,,,,,,,,,,,,,,,,,,
ЩПС,С4,,0-80,куб,750,,,Перовское,,,,,,,,,,,,,,,,,,
ЩПС,0/63,,,куб,750,,,Перовское,,,,,,,,,,,,,,,,,,
ЩПС,,,0-40,куб,580,,,Перовское,,,,,,,,,,,,,,,,,,
Отсев,гранитный,,0-5,куб,350,,,Перовское,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
