product,type,subtype1,subtype2,measurement_unit,price_per_unit,bulk_density,price_per_ton,pickup_address,supplier_address,,,,,,,,,,,,,,,,,
Песок,мелкозернистый,,1,куб,180,,,Приветинское,"60.177464, 29.324138",,,,,,,,,,,,,,,,,
ПГС,природный,,"2,5-3,5",куб,260,,,Приветинское,"60.177464, 29.324138",,,,,,,,,,,,,,,,,
ПГС,,,0-20,куб,520,,,Приветинское,"60.177464, 29.324138",,,,,,,,,,,,,,,,,
ПГС,,,0-40,куб,520,,,Приветинское,"60.177464, 29.324138",,,,,,,,,,,,,,,,,
Гравий,,,20-40,куб,850,,,Приветинское,"60.177464, 29.324138",,,,,,,,,,,,,,,,,
Камень,,,0-300,куб,550,,,Приветинское,"60.177464, 29.324138",,,,,,,,,,,,,,,,,
Песок,намывной,,"2,0-2,4",куб,740,,,Сестринский,"60.208669, 29.921144",,,,,,,,,,,,,,,,,
Песок,намывной,2 сорт,,куб,600,,,Сестринский,"60.208669, 29.921144",,,,,,,,,,,,,,,,,
Супесь,,,"0,1-1",куб,0,,,Сестринский,"60.208669, 29.921144",,,,,,,,,,,,,,,,,
Грунт,,,,куб,0,,,Сестринский,"60.208669, 29.921144",,,,,,,,,,,,,,,,,
Песок,не сеяный,,"1,8-2",куб,450,,,Чайко,,,,,,,,,,,,,,,,,,
Песок,намывной,2 сорт,"2-2,5",куб,0,,,Чайко,"60.333157, 29.796691",,,,,,,,,,,,,,,,,
Песок,намывной,,"2-2,5",куб,0,,,Чайко,"60.333157, 29.796691",,,,,,,,,,,,,,,,,
Песок,карьерный,,1,куб,500,,,Новосаратовское-1,"59.831234, 30.701955",,,,,,,,,,,,,,,,,
Песок,карьерный,Тонкий,,куб,250,,,Новосаратовское-1,"59.831234, 30.701955",,,,,,,,,,,,,,,,,
Песок,ПЛОДОРОДНЫЙ,,,куб,500,,,Новосаратовское-1,"59.831234, 30.701955",,,,,,,,,,,,,,,,,
Песок,обогащенный,,,куб,750,,,Новосаратовское-1,"59.831234, 30.701955",,,,,,,,,,,,,,,,,
Песок,обогащенный,1 класс,,куб,1000,,,Новосаратовское-1,"59.831234, 30.701955",,,,,,,,,,,,,,,,,
Песок,намывной,,"2-2,5",куб,1100,,,ЛСР Манушкино,"59.870756, 30.793427",,,,,,,,,,,,,,,,,
Песок,намывной,,"1,5-2",куб,1020,,,ЛСР Манушкино,"59.870756, 30.793427",,,,,,,,,,,,,,,,,
Песок,намывной,слабоводопроницаемый,"1,5-2",куб,900,,,ЛСР Манушкино,"59.870756, 30.793427",,,,,,,,,,,,,,,,,
Песок,карьерный,,1,куб,640,,,ЛСР Манушкино,"59.870756, 30.793427",,,,,,,,,,,,,,,,,
Песок,обогащенный,,"1,4-2,1",куб,0,,,Залесье,"59.933260, 29.226331",,,,,,,,,,,,,,,,,
Песок,карьерный,,,куб,360,,,Залесье,"59.933260, 29.226331",,,,,,,,,,,,,,,,,
Супесь,,,,куб,250,,,Залесье,"59.933260, 29.226331",,,,,,,,,,,,,,,,,
Грунт,Экосмесь,,,куб,360,,,Залесье,"59.933260, 29.226331",,,,,,,,,,,,,,,,,
Песок,намывной,высший сорт,"1,5-2,0",куб,795,,,Таменгонт,"59.891378, 29.513979",,,,,,,,,,,,,,,,,
Песок,намывной,1 сорт,"1,0-1,5",куб,380,,,Таменгонт,"59.891378, 29.513979",,,,,,,,,,,,,,,,,
Песок,карьерный,,"0,5-1,0",куб,250,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Песок,карьерный,,"1,0-1,5",куб,280,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Песок,карьерный,,"1,5-2,0",куб,320,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Песок,карьерный,,"2,0-2,5",куб,350,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Песок,сеяный,,"2,0-2,5",куб,400,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
Песок,сеянный,,"3,0-3,5",куб,400,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
ПГС,природный,,,куб,500,,,Воронья гора,"59.576264, 28.605410",,,,,,,,,,,,,,,,,
